controller,exact_match,mean_steps,category,deployable,source_result
Fixed 0,0.875,0.0,fixed,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Fixed 1,0.875,1.0,fixed,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Fixed 5,0.90625,5.0,fixed,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Patience 1,0.875,2.5416666666666665,heuristic,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Min improvement 0.01,0.875,1.0416666666666667,heuristic,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Gradient norm 0.1,0.90625,3.4375,heuristic,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Random stop p=0.2,0.8958333333333334,2.4479166666666665,random,true,settingB_ckpt2_ds0_len24_eval_20260723.json
RL lambda=0,0.90625,4.28125,rl,true,settingB_ckpt2_ds0_len24_eval_20260723.json
RL lambda=0.05,0.875,0.3854166666666667,rl,true,settingB_ckpt2_ds0_len24_eval_20260723.json
RL lambda=0.10,0.875,0.0,rl,true,settingB_ckpt2_ds0_len24_eval_20260723.json
Oracle earliest-correct,0.90625,0.5625,oracle,false,settingB_ckpt2_ds0_len24_eval_20260723.json
